sensor,timestamp,x,y,z
2,68619,0.207031,-0.285156,0.898438
3,68630,-0.378906,0.250000,0.816406
1,68641,0.000000,0.820312,0.566406
2,68652,0.210938,-0.289062,0.902344
3,68663,-0.375000,0.246094,0.808594
1,68674,-0.003906,0.824219,0.562500
2,68685,0.203125,-0.285156,0.898438
3,68696,-0.371094,0.242188,0.812500
1,68707,-0.003906,0.820312,0.562500
2,68718,0.203125,-0.285156,0.898438
3,68729,-0.371094,0.246094,0.812500
1,68740,-0.003906,0.824219,0.570312
2,68751,0.207031,-0.285156,0.902344
3,68762,-0.375000,0.246094,0.816406
1,68773,-0.003906,0.816406,0.562500
2,68784,0.207031,-0.285156,0.898438
3,68795,-0.371094,0.250000,0.812500
1,68806,-0.003906,0.820312,0.570312
2,68817,0.207031,-0.285156,0.894531
3,68828,-0.371094,0.246094,0.816406
1,68839,0.000000,0.816406,0.566406
2,68850,0.207031,-0.281250,0.898438
3,68861,-0.375000,0.246094,0.808594
1,68872,-0.003906,0.820312,0.562500
2,68883,0.207031,-0.289062,0.902344
3,68894,-0.375000,0.246094,0.808594
1,68905,-0.003906,0.816406,0.566406
2,68916,0.210938,-0.289062,0.902344
3,68927,-0.378906,0.242188,0.812500
1,68938,-0.003906,0.824219,0.570312
2,68949,0.207031,-0.289062,0.898438
3,68960,-0.375000,0.242188,0.812500
1,68971,-0.003906,0.820312,0.566406
2,68982,0.207031,-0.285156,0.898438
3,68993,-0.375000,0.246094,0.808594
1,69004,-0.003906,0.824219,0.570312
2,69015,0.203125,-0.289062,0.902344
3,69026,-0.375000,0.242188,0.812500
1,69037,0.000000,0.820312,0.566406
2,69048,0.210938,-0.289062,0.898438
3,69059,-0.375000,0.246094,0.812500
1,69070,-0.003906,0.824219,0.574219
2,69081,0.207031,-0.285156,0.898438
3,69092,-0.371094,0.242188,0.812500
1,69103,0.000000,0.816406,0.570312
2,69114,0.207031,-0.285156,0.898438
3,69125,-0.375000,0.246094,0.812500
1,69136,-0.003906,0.820312,0.566406
2,69147,0.210938,-0.289062,0.902344
3,69158,-0.375000,0.250000,0.812500
1,69169,-0.003906,0.816406,0.566406
2,69180,0.207031,-0.289062,0.898438
3,69191,-0.371094,0.246094,0.816406
1,69202,0.000000,0.820312,0.566406
2,69213,0.210938,-0.281250,0.902344
3,69224,-0.378906,0.246094,0.812500
1,69235,-0.003906,0.816406,0.570312
2,69246,0.207031,-0.285156,0.902344
3,69257,-0.375000,0.242188,0.812500
1,69268,-0.003906,0.820312,0.566406
2,69279,0.207031,-0.285156,0.902344
3,69290,-0.375000,0.246094,0.816406
1,69301,-0.003906,0.816406,0.570312
2,69312,0.207031,-0.285156,0.898438
3,69323,-0.375000,0.246094,0.816406
1,69334,0.000000,0.820312,0.574219
2,69345,0.207031,-0.289062,0.902344
3,69356,-0.375000,0.242188,0.816406
1,69367,0.000000,0.820312,0.570312
2,69378,0.207031,-0.285156,0.898438
3,69389,-0.375000,0.246094,0.820312
1,69400,-0.007812,0.820312,0.570312
2,69411,0.207031,-0.285156,0.902344
3,69422,-0.375000,0.250000,0.812500
1,69433,-0.003906,0.820312,0.574219
2,69444,0.207031,-0.281250,0.902344
3,69455,-0.371094,0.246094,0.812500
1,69466,-0.003906,0.820312,0.558594
2,69477,0.207031,-0.285156,0.898438
3,69488,-0.371094,0.246094,0.812500
1,69499,0.000000,0.820312,0.570312
2,69510,0.207031,-0.289062,0.906250
3,69521,-0.371094,0.246094,0.812500
1,69532,-0.003906,0.820312,0.570312
2,69543,0.207031,-0.285156,0.902344
3,69554,-0.375000,0.246094,0.808594
1,69565,-0.003906,0.824219,0.570312
2,69576,0.207031,-0.289062,0.898438
3,69587,-0.371094,0.242188,0.812500
1,69598,0.000000,0.820312,0.566406
2,69609,0.210938,-0.281250,0.902344
3,69620,-0.375000,0.246094,0.812500
1,69631,-0.003906,0.816406,0.566406
2,69642,0.203125,-0.289062,0.898438
3,69653,-0.375000,0.250000,0.816406
1,69664,-0.003906,0.820312,0.566406
2,69675,0.210938,-0.285156,0.898438
3,69686,-0.371094,0.242188,0.816406
1,69697,-0.003906,0.820312,0.566406
2,69708,0.207031,-0.289062,0.898438
3,69719,-0.375000,0.246094,0.820312
1,69730,-0.003906,0.816406,0.570312
2,69741,0.207031,-0.289062,0.898438
3,69752,-0.375000,0.246094,0.820312
1,69763,-0.003906,0.816406,0.566406
2,69774,0.207031,-0.289062,0.894531
3,69785,-0.371094,0.242188,0.808594
1,69796,0.000000,0.816406,0.566406
2,69807,0.203125,-0.285156,0.902344
3,69818,-0.375000,0.242188,0.812500
1,69829,-0.003906,0.820312,0.566406
2,69840,0.207031,-0.285156,0.898438
3,69851,-0.375000,0.246094,0.808594
1,69862,-0.003906,0.820312,0.566406
2,69873,0.210938,-0.289062,0.902344
3,69884,-0.375000,0.246094,0.816406
1,69895,-0.003906,0.816406,0.566406
2,69906,0.203125,-0.285156,0.898438
3,69917,-0.375000,0.250000,0.816406
1,69928,-0.003906,0.820312,0.562500
2,69939,0.210938,-0.289062,0.902344
3,69950,-0.375000,0.242188,0.816406
1,69961,0.000000,0.820312,0.566406
2,69972,0.210938,-0.289062,0.894531
3,69983,-0.375000,0.246094,0.820312
1,69994,-0.003906,0.820312,0.566406
2,70005,0.210938,-0.289062,0.898438
3,70016,-0.375000,0.250000,0.816406
1,70027,0.000000,0.820312,0.570312
2,70038,0.207031,-0.281250,0.902344
3,70049,-0.371094,0.246094,0.816406
1,70060,0.000000,0.820312,0.566406
2,70071,0.207031,-0.281250,0.894531
3,70082,-0.375000,0.246094,0.816406
1,70093,-0.003906,0.820312,0.570312
2,70104,0.210938,-0.289062,0.902344
3,70115,-0.371094,0.246094,0.812500
1,70126,0.000000,0.820312,0.570312
2,70137,0.207031,-0.281250,0.902344
3,70148,-0.375000,0.246094,0.812500
1,70159,-0.003906,0.820312,0.566406
2,70170,0.207031,-0.289062,0.898438
3,70181,-0.371094,0.250000,0.816406
1,70192,0.000000,0.820312,0.566406
2,70203,0.210938,-0.285156,0.902344
3,70214,-0.371094,0.250000,0.812500
1,70225,-0.003906,0.816406,0.562500
2,70236,0.210938,-0.289062,0.902344
3,70247,-0.378906,0.246094,0.808594
1,70258,-0.003906,0.816406,0.570312
2,70269,0.207031,-0.285156,0.898438
3,70280,-0.375000,0.246094,0.816406
1,70291,-0.003906,0.820312,0.566406
2,70302,0.207031,-0.285156,0.898438
3,70313,-0.378906,0.246094,0.812500
1,70324,0.000000,0.820312,0.566406
2,70335,0.203125,-0.285156,0.898438
3,70346,-0.375000,0.246094,0.820312
1,70357,0.000000,0.816406,0.570312
2,70368,0.207031,-0.285156,0.898438
3,70379,-0.375000,0.246094,0.816406
1,70390,0.000000,0.820312,0.570312
2,70401,0.203125,-0.285156,0.894531
3,70412,-0.371094,0.242188,0.816406
1,70423,-0.003906,0.820312,0.570312
2,70434,0.207031,-0.289062,0.894531
3,70445,-0.371094,0.246094,0.816406
1,70456,0.000000,0.820312,0.566406
2,70467,0.210938,-0.289062,0.898438
3,70478,-0.375000,0.246094,0.816406
1,70489,-0.003906,0.820312,0.570312
2,70500,0.203125,-0.285156,0.894531
3,70511,-0.367188,0.246094,0.820312
1,70522,0.000000,0.820312,0.566406
2,70533,0.210938,-0.289062,0.902344
3,70544,-0.371094,0.246094,0.816406
1,70555,-0.003906,0.816406,0.574219
2,70566,0.207031,-0.289062,0.898438
3,70577,-0.375000,0.242188,0.816406
1,70588,0.000000,0.820312,0.570312
2,70599,0.207031,-0.289062,0.894531
3,70610,-0.371094,0.242188,0.816406
1,70621,-0.003906,0.816406,0.574219
2,70632,0.210938,-0.285156,0.894531
3,70643,-0.371094,0.242188,0.812500
1,70654,0.000000,0.816406,0.562500
2,70665,0.207031,-0.289062,0.902344
3,70676,-0.375000,0.246094,0.808594
1,70687,-0.003906,0.816406,0.570312
2,70698,0.207031,-0.285156,0.898438
3,70709,-0.378906,0.246094,0.812500
1,70720,-0.003906,0.816406,0.570312
2,70731,0.207031,-0.285156,0.902344
3,70742,-0.375000,0.246094,0.816406
1,70753,0.000000,0.820312,0.566406
2,70764,0.210938,-0.289062,0.906250
3,70775,-0.375000,0.246094,0.812500
1,70786,-0.003906,0.820312,0.566406
2,70797,0.203125,-0.285156,0.906250
3,70808,-0.375000,0.250000,0.816406
1,70819,-0.007812,0.820312,0.570312
2,70830,0.210938,-0.289062,0.894531
3,70841,-0.375000,0.246094,0.816406
1,70852,-0.003906,0.820312,0.566406
2,70863,0.207031,-0.289062,0.902344
3,70874,-0.375000,0.246094,0.812500
1,70885,0.000000,0.820312,0.566406
2,70896,0.207031,-0.289062,0.898438
3,70907,-0.371094,0.242188,0.816406
1,70918,-0.003906,0.820312,0.566406
2,70929,0.203125,-0.281250,0.898438
3,70940,-0.371094,0.246094,0.812500
1,70951,-0.003906,0.820312,0.570312
2,70962,0.210938,-0.285156,0.894531
3,70973,-0.375000,0.246094,0.804688
1,70984,-0.007812,0.820312,0.566406
2,70995,0.210938,-0.289062,0.902344
3,71006,-0.378906,0.246094,0.816406
1,71017,0.000000,0.816406,0.566406
2,71028,0.210938,-0.289062,0.906250
3,71039,-0.378906,0.246094,0.808594
1,71050,0.000000,0.820312,0.566406
2,71061,0.207031,-0.281250,0.902344
3,71072,-0.371094,0.242188,0.816406
1,71083,-0.003906,0.820312,0.566406
2,71094,0.207031,-0.285156,0.906250
3,71105,-0.375000,0.246094,0.816406
1,71116,0.000000,0.824219,0.562500
2,71127,0.207031,-0.289062,0.898438
3,71138,-0.375000,0.250000,0.812500
1,71149,-0.003906,0.820312,0.570312
2,71160,0.207031,-0.289062,0.898438
3,71171,-0.375000,0.246094,0.812500
1,71182,0.000000,0.820312,0.562500
2,71193,0.207031,-0.289062,0.906250
3,71204,-0.371094,0.246094,0.808594
1,71215,-0.003906,0.824219,0.574219
2,71226,0.207031,-0.289062,0.898438
3,71237,-0.375000,0.242188,0.824219
1,71248,-0.003906,0.820312,0.574219
2,71259,0.207031,-0.285156,0.902344
3,71270,-0.375000,0.246094,0.812500
1,71281,0.000000,0.824219,0.566406
2,71292,0.203125,-0.281250,0.898438
3,71303,-0.375000,0.242188,0.816406
1,71314,0.000000,0.824219,0.574219
2,71325,0.207031,-0.285156,0.898438
3,71336,-0.375000,0.246094,0.816406
1,71347,0.000000,0.820312,0.562500
2,71358,0.203125,-0.285156,0.898438
3,71369,-0.375000,0.246094,0.808594
1,71380,-0.003906,0.820312,0.570312
2,71391,0.210938,-0.285156,0.894531
3,71402,-0.375000,0.246094,0.812500
1,71413,-0.003906,0.816406,0.562500
2,71424,0.207031,-0.285156,0.898438
3,71435,-0.375000,0.246094,0.812500
1,71446,0.000000,0.816406,0.566406
2,71457,0.210938,-0.285156,0.898438
3,71468,-0.375000,0.246094,0.816406
1,71479,-0.003906,0.820312,0.566406
2,71490,0.207031,-0.289062,0.902344
3,71501,-0.375000,0.246094,0.808594
1,71512,-0.003906,0.820312,0.570312
2,71523,0.207031,-0.285156,0.898438
3,71534,-0.371094,0.246094,0.816406
1,71545,0.000000,0.816406,0.562500
2,71556,0.207031,-0.289062,0.902344
3,71567,-0.375000,0.246094,0.816406
1,71578,-0.003906,0.824219,0.566406
2,71589,0.207031,-0.281250,0.898438
3,71600,-0.371094,0.246094,0.812500
1,71611,-0.003906,0.820312,0.570312
2,71622,0.207031,-0.285156,0.894531
3,71633,-0.375000,0.246094,0.820312
1,71644,0.000000,0.820312,0.566406
2,71655,0.207031,-0.289062,0.902344
3,71666,-0.371094,0.250000,0.816406
1,71677,-0.003906,0.820312,0.566406
2,71688,0.207031,-0.285156,0.898438
3,71699,-0.378906,0.246094,0.812500
1,71710,-0.003906,0.824219,0.570312
2,71721,0.207031,-0.285156,0.894531
3,71732,-0.371094,0.246094,0.808594
1,71743,-0.003906,0.820312,0.566406
2,71754,0.207031,-0.289062,0.898438
3,71765,-0.371094,0.246094,0.812500
1,71776,-0.003906,0.824219,0.566406
2,71787,0.207031,-0.285156,0.902344
3,71798,-0.375000,0.246094,0.816406
1,71809,-0.003906,0.816406,0.566406
2,71820,0.210938,-0.281250,0.902344
3,71831,-0.371094,0.242188,0.816406
1,71842,0.000000,0.820312,0.566406
2,71853,0.203125,-0.289062,0.902344
3,71864,-0.375000,0.246094,0.812500
1,71875,0.000000,0.820312,0.566406
2,71886,0.207031,-0.289062,0.898438
3,71897,-0.375000,0.246094,0.812500
1,71908,-0.003906,0.816406,0.562500
2,71919,0.207031,-0.285156,0.898438
3,71930,-0.375000,0.246094,0.816406
1,71941,0.000000,0.820312,0.566406
2,71952,0.210938,-0.289062,0.902344
3,71963,-0.375000,0.246094,0.816406
1,71974,-0.007812,0.824219,0.570312
2,71985,0.207031,-0.281250,0.898438
3,71996,-0.375000,0.246094,0.816406
1,72007,0.000000,0.820312,0.566406
2,72018,0.207031,-0.285156,0.902344
3,72029,-0.375000,0.246094,0.812500
1,72040,-0.003906,0.820312,0.562500
2,72051,0.210938,-0.285156,0.898438
3,72062,-0.375000,0.246094,0.816406
1,72073,0.000000,0.816406,0.566406
2,72084,0.207031,-0.285156,0.902344
3,72095,-0.378906,0.250000,0.812500
1,72106,0.000000,0.816406,0.566406
2,72117,0.207031,-0.285156,0.898438
3,72128,-0.378906,0.246094,0.816406
1,72139,-0.003906,0.820312,0.570312
2,72150,0.207031,-0.289062,0.898438
3,72161,-0.378906,0.246094,0.816406
1,72172,-0.003906,0.820312,0.566406
2,72183,0.207031,-0.289062,0.902344
3,72194,-0.375000,0.246094,0.816406
1,72205,-0.003906,0.820312,0.566406
2,72216,0.207031,-0.285156,0.906250
3,72227,-0.375000,0.246094,0.812500
1,72238,-0.003906,0.820312,0.566406
2,72249,0.207031,-0.289062,0.898438
3,72260,-0.371094,0.246094,0.812500
1,72271,-0.007812,0.816406,0.566406
2,72282,0.203125,-0.281250,0.898438
3,72293,-0.378906,0.246094,0.808594
1,72304,-0.003906,0.820312,0.566406
2,72315,0.203125,-0.285156,0.902344
3,72326,-0.375000,0.246094,0.820312
1,72337,0.000000,0.824219,0.562500
2,72348,0.207031,-0.285156,0.898438
3,72359,-0.375000,0.242188,0.816406
1,72370,0.000000,0.820312,0.566406
2,72381,0.207031,-0.289062,0.898438
3,72392,-0.375000,0.246094,0.816406
1,72403,0.000000,0.820312,0.562500
2,72414,0.203125,-0.285156,0.898438
3,72425,-0.375000,0.246094,0.812500
1,72436,-0.003906,0.820312,0.570312
2,72447,0.203125,-0.285156,0.894531
3,72458,-0.371094,0.246094,0.808594
1,72469,-0.003906,0.824219,0.566406
2,72480,0.207031,-0.281250,0.894531
3,72491,-0.375000,0.246094,0.816406
1,72502,-0.003906,0.820312,0.570312
2,72513,0.210938,-0.285156,0.898438
3,72524,-0.371094,0.246094,0.816406
1,72535,-0.003906,0.824219,0.566406
2,72546,0.210938,-0.285156,0.902344
3,72557,-0.375000,0.246094,0.808594
1,72568,-0.003906,0.820312,0.566406
2,72579,0.203125,-0.285156,0.898438
3,72590,-0.375000,0.250000,0.812500
1,72601,-0.003906,0.824219,0.566406
2,72612,0.207031,-0.289062,0.902344
3,72623,-0.375000,0.246094,0.812500
1,72634,-0.003906,0.824219,0.566406
2,72645,0.207031,-0.281250,0.902344
3,72656,-0.375000,0.246094,0.812500
1,72667,0.000000,0.816406,0.570312
2,72678,0.207031,-0.285156,0.906250
